size,version,speedup
1024,Serial,1.000E+00
1024,OpenMP_CPU,1.637E+00
1024,OpenMP_GPU_Teams,1.168E-02
1024,Compute_OpenMP_GPU_Teams_Parallel,1.308E-01
1024,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,1.098E-01
1024,Compute_OpenMP_GPU_Teams_Parallel_Data,2.341E+00
2048,Serial,1.000E+00
2048,OpenMP_CPU,2.066E+00
2048,OpenMP_GPU_Teams,1.005E-01
2048,Compute_OpenMP_GPU_Teams_Parallel,2.455E-01
2048,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,2.066E-01
2048,Compute_OpenMP_GPU_Teams_Parallel_Data,5.187E+00
5096,Serial,1.000E+00
5096,OpenMP_CPU,3.316E+00
5096,OpenMP_GPU_Teams,2.371E-01
5096,Compute_OpenMP_GPU_Teams_Parallel,3.176E-01
5096,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,2.571E-01
5096,Compute_OpenMP_GPU_Teams_Parallel_Data,6.313E+00
10192,Serial,1.000E+00
10192,OpenMP_CPU,1.730E+00
10192,OpenMP_GPU_Teams,2.872E-01
10192,Compute_OpenMP_GPU_Teams_Parallel,3.126E-01
10192,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,2.804E-01
10192,Compute_OpenMP_GPU_Teams_Parallel_Data,5.969E+00
20384,Serial,1.000E+00
20384,OpenMP_CPU,1.858E+00
20384,OpenMP_GPU_Teams,3.746E-01
20384,Compute_OpenMP_GPU_Teams_Parallel,3.838E-01
20384,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,3.358E-01
20384,Compute_OpenMP_GPU_Teams_Parallel_Data,6.138E+00
40768,Serial,1.000E+00
40768,OpenMP_CPU,1.777E+00
40768,OpenMP_GPU_Teams,5.062E-01
40768,Compute_OpenMP_GPU_Teams_Parallel,5.265E-01
40768,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,4.655E-01
40768,Compute_OpenMP_GPU_Teams_Parallel_Data,7.190E+00
