size,version,speedup
1024,Serial,1.000E+00
1024,OpenMP_CPU,7.319E-01
1024,OpenMP_GPU_Teams,4.781E-01
1024,Compute_OpenMP_GPU_Teams_Parallel,6.380E-01
1024,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,2.523E+00
1024,Compute_OpenMP_GPU_Teams_Parallel_Data,2.507E+00
2048,Serial,1.000E+00
2048,OpenMP_CPU,2.710E+00
2048,OpenMP_GPU_Teams,6.432E-01
2048,Compute_OpenMP_GPU_Teams_Parallel,9.445E+00
2048,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,9.387E+00
2048,Compute_OpenMP_GPU_Teams_Parallel_Data,9.406E+00
5096,Serial,1.000E+00
5096,OpenMP_CPU,2.208E+00
5096,OpenMP_GPU_Teams,6.320E-01
5096,Compute_OpenMP_GPU_Teams_Parallel,3.178E+00
5096,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,3.444E+00
5096,Compute_OpenMP_GPU_Teams_Parallel_Data,3.496E+00
10192,Serial,1.000E+00
10192,OpenMP_CPU,3.002E+00
10192,OpenMP_GPU_Teams,6.319E-01
10192,Compute_OpenMP_GPU_Teams_Parallel,3.026E+00
10192,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,3.051E+00
10192,Compute_OpenMP_GPU_Teams_Parallel_Data,3.079E+00
20384,Serial,1.000E+00
20384,OpenMP_CPU,3.091E+00
20384,OpenMP_GPU_Teams,6.136E-01
20384,Compute_OpenMP_GPU_Teams_Parallel,3.086E+00
20384,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,3.094E+00
20384,Compute_OpenMP_GPU_Teams_Parallel_Data,3.095E+00
40768,Serial,1.000E+00
40768,OpenMP_CPU,3.051E+00
40768,OpenMP_GPU_Teams,6.149E-01
40768,Compute_OpenMP_GPU_Teams_Parallel,3.066E+00
40768,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,3.062E+00
40768,Compute_OpenMP_GPU_Teams_Parallel_Data,3.059E+00
