size,version,speedup
1024,Serial,1.000E+00
1024,OpenMP_CPU,1.046E-01
1024,OpenMP_GPU_Teams,7.742E-01
1024,Compute_OpenMP_GPU_Teams_Parallel,6.704E-02
1024,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,3.577E-01
1024,Compute_OpenMP_GPU_Teams_Parallel_Data,3.796E-01
2048,Serial,1.000E+00
2048,OpenMP_CPU,5.051E-01
2048,OpenMP_GPU_Teams,7.098E-01
2048,Compute_OpenMP_GPU_Teams_Parallel,3.336E+00
2048,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,3.249E+00
2048,Compute_OpenMP_GPU_Teams_Parallel_Data,3.304E+00
5096,Serial,1.000E+00
5096,OpenMP_CPU,1.677E+00
5096,OpenMP_GPU_Teams,6.818E-01
5096,Compute_OpenMP_GPU_Teams_Parallel,3.317E+00
5096,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,3.249E+00
5096,Compute_OpenMP_GPU_Teams_Parallel_Data,3.414E+00
10192,Serial,1.000E+00
10192,OpenMP_CPU,3.135E+00
10192,OpenMP_GPU_Teams,6.992E-01
10192,Compute_OpenMP_GPU_Teams_Parallel,3.336E+00
10192,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,3.342E+00
10192,Compute_OpenMP_GPU_Teams_Parallel_Data,3.356E+00
20384,Serial,1.000E+00
20384,OpenMP_CPU,3.218E+00
20384,OpenMP_GPU_Teams,6.919E-01
20384,Compute_OpenMP_GPU_Teams_Parallel,3.310E+00
20384,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,3.322E+00
20384,Compute_OpenMP_GPU_Teams_Parallel_Data,3.317E+00
40768,Serial,1.000E+00
40768,OpenMP_CPU,3.421E+00
40768,OpenMP_GPU_Teams,7.205E-01
40768,Compute_OpenMP_GPU_Teams_Parallel,3.433E+00
40768,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,3.431E+00
40768,Compute_OpenMP_GPU_Teams_Parallel_Data,3.432E+00
