size,version,speedup
1024,Serial,1.000E+00
1024,OpenMP_CPU,4.105E-01
1024,OpenMP_GPU_Teams,9.408E-02
1024,Compute_OpenMP_GPU_Teams_Parallel,8.886E-01
1024,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,1.979E+00
1024,Compute_OpenMP_GPU_Teams_Parallel_Data,2.618E+00
2048,Serial,1.000E+00
2048,OpenMP_CPU,1.690E+00
2048,OpenMP_GPU_Teams,1.377E-01
2048,Compute_OpenMP_GPU_Teams_Parallel,3.638E+00
2048,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,3.051E+00
2048,Compute_OpenMP_GPU_Teams_Parallel_Data,3.264E+00
5096,Serial,1.000E+00
5096,OpenMP_CPU,2.235E+00
5096,OpenMP_GPU_Teams,1.341E-01
5096,Compute_OpenMP_GPU_Teams_Parallel,2.378E+00
5096,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,2.716E+00
5096,Compute_OpenMP_GPU_Teams_Parallel_Data,3.181E+00
10192,Serial,1.000E+00
10192,OpenMP_CPU,2.811E+00
10192,OpenMP_GPU_Teams,1.338E-01
10192,Compute_OpenMP_GPU_Teams_Parallel,2.861E+00
10192,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,2.917E+00
10192,Compute_OpenMP_GPU_Teams_Parallel_Data,2.923E+00
20384,Serial,1.000E+00
20384,OpenMP_CPU,2.745E+00
20384,OpenMP_GPU_Teams,1.313E-01
20384,Compute_OpenMP_GPU_Teams_Parallel,2.902E+00
20384,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,2.904E+00
20384,Compute_OpenMP_GPU_Teams_Parallel_Data,2.904E+00
40768,Serial,1.000E+00
40768,OpenMP_CPU,2.784E+00
40768,OpenMP_GPU_Teams,1.294E-01
40768,Compute_OpenMP_GPU_Teams_Parallel,2.877E+00
40768,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,2.774E+00
40768,Compute_OpenMP_GPU_Teams_Parallel_Data,2.858E+00
