size,version,speedup
1024,Serial,1.000E+00
1024,OpenMP_CPU,1.141E-01
1024,OpenMP_GPU_Teams,3.281E-03
1024,Compute_OpenMP_GPU_Teams_Parallel,5.620E-01
1024,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,5.250E-01
1024,Compute_OpenMP_GPU_Teams_Parallel_Data,1.662E+00
2048,Serial,1.000E+00
2048,OpenMP_CPU,3.446E-01
2048,OpenMP_GPU_Teams,1.594E-02
2048,Compute_OpenMP_GPU_Teams_Parallel,6.639E-01
2048,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,4.283E-01
2048,Compute_OpenMP_GPU_Teams_Parallel_Data,2.357E+00
5096,Serial,1.000E+00
5096,OpenMP_CPU,1.803E+00
5096,OpenMP_GPU_Teams,8.556E-02
5096,Compute_OpenMP_GPU_Teams_Parallel,7.953E-01
5096,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,4.964E-01
5096,Compute_OpenMP_GPU_Teams_Parallel_Data,3.195E+00
10192,Serial,1.000E+00
10192,OpenMP_CPU,2.731E+00
10192,OpenMP_GPU_Teams,2.383E-01
10192,Compute_OpenMP_GPU_Teams_Parallel,7.459E-01
10192,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,4.805E-01
10192,Compute_OpenMP_GPU_Teams_Parallel_Data,2.838E+00
20384,Serial,1.000E+00
20384,OpenMP_CPU,3.032E+00
20384,OpenMP_GPU_Teams,4.450E-01
20384,Compute_OpenMP_GPU_Teams_Parallel,7.415E-01
20384,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,4.758E-01
20384,Compute_OpenMP_GPU_Teams_Parallel_Data,2.843E+00
40768,Serial,1.000E+00
40768,OpenMP_CPU,3.093E+00
40768,OpenMP_GPU_Teams,5.804E-01
40768,Compute_OpenMP_GPU_Teams_Parallel,7.726E-01
40768,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,4.851E-01
40768,Compute_OpenMP_GPU_Teams_Parallel_Data,3.115E+00
